epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,160.925,0.16633,0.9985,1,0.012,0.00999534,0.00333178,0.00999534,0.00333178,0.00999534,0.00333178,0.00999534,0.00333178
2,273.912,0.04791,0.999,1,0.00926,0.0190056,0.00633519,0.0190056,0.00633519,0.0190056,0.00633519,0.0190056,0.00633519
3,387.507,0.0504,0.9725,1,0.07958,0.0270258,0.0090086,0.0270258,0.0090086,0.0270258,0.0090086,0.0270258,0.0090086
4,500.757,0.05851,0.9975,1,0.01688,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,614.239,0.0377,0.999,1,0.00451,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,728.141,0.03299,0.998,1,0.00424,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,842.071,0.0276,0.9985,1,0.00893,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,955.951,0.02521,1,1,0.00091,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,1070.45,0.02054,0.999,1,0.00149,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,1184.61,0.01882,1,1,0.0013,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,1317.43,0.01907,0.9995,1,0.00252,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,1431.49,0.0151,0.9985,1,0.00349,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,1545.81,0.01829,0.9995,1,0.00144,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,1659.93,0.01644,0.9985,1,0.00238,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,1773.76,0.015,1,1,0.00107,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,1887.53,0.01295,0.999,1,0.00135,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,2004.7,0.01301,0.9995,1,0.00176,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,2131.42,0.01251,0.9995,1,0.00164,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,2283.71,0.00969,0.9995,1,0.00222,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,2436.14,0.00946,0.9995,1,0.00261,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
