epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,135.439,0.18474,0.99592,1,0.01672,0.00999418,0.00333139,0.00999418,0.00333139,0.00999418,0.00333139,0.00999418,0.00333139
2,277.277,0.05802,0.9984,1,0.00663,0.0197962,0.00659874,0.0197962,0.00659874,0.0197962,0.00659874,0.0197962,0.00659874
3,407.23,0.06245,0.99505,1,0.02741,0.0294003,0.0098001,0.0294003,0.0098001,0.0294003,0.0098001,0.0294003,0.0098001
4,512.498,0.06314,0.99782,1,0.00993,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,617.603,0.04975,0.99883,1,0.00554,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,739.218,0.04179,0.99767,1,0.0089,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,843.301,0.03499,0.99782,1,0.00939,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,947.775,0.03168,0.99796,1,0.00623,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1052.29,0.02946,0.99898,1,0.00465,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1166.56,0.02911,0.9984,1,0.00554,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1273.61,0.02408,0.99927,1,0.00319,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1382.09,0.0249,0.99898,1,0.00396,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1490.76,0.02755,0.99898,1,0.00437,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1598.54,0.02254,0.99927,1,0.0037,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1706,0.02356,0.99913,1,0.00355,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1813.91,0.02721,0.99913,1,0.00382,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1921.04,0.02379,0.99942,1,0.00329,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2028.57,0.02227,0.99942,1,0.00212,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2135.89,0.02195,0.99898,1,0.00352,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2242.6,0.02294,0.99927,1,0.00336,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2352.07,0.02648,0.99927,1,0.00274,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2475.03,0.02148,0.99927,1,0.00218,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
